index,name,fandom,year_joined,latest_year,total_years,gender,race,orientation,country_of_origin,continent,language
JoJo's Bizarre Adventure | ジョジョの奇妙な冒険 - Kujo 'Jojo' Jotaro,Kujo 'Jojo' Jotaro,JoJo's Bizarre Adventure | ジョジョの奇妙な冒険,2020,2020,1,M,E Asian (Multi),str8,Japan,Asia,Japanese
JoJo's Bizarre Adventure | ジョジョの奇妙な冒険 - Leone Abbacchio,Leone Abbacchio,JoJo's Bizarre Adventure | ジョジョの奇妙な冒険,2020,2020,1,M,Latin,unspecified,Japan,Asia,Japanese
Journey to the West Universe - Liu'Er Mihou | Six-eared Macaque,Liu'Er Mihou | Six-eared Macaque,Journey to the West Universe,2023,2023,1,M,N.H.,unspecified,China,Asia,Chinese
Journey to the West Universe - Sun Wukong | Monkey King,Sun Wukong | Monkey King,Journey to the West Universe,2023,2023,1,M,N.H.,unspecified,China,Asia,Chinese
Jujutsu Kaisen | 呪術廻戦 - Fushiguro Megumi,Fushiguro Megumi,Jujutsu Kaisen | 呪術廻戦,2024,2024,1,M,E Asian,unspecified,Japan,Asia,Japanese
Jujutsu Kaisen | 呪術廻戦 - Getou Suguru,Getou Suguru,Jujutsu Kaisen | 呪術廻戦,2021,2024,4,M,E Asian,unspecified,Japan,Asia,Japanese
Jujutsu Kaisen | 呪術廻戦 - Gojo Satoru,Gojo Satoru,Jujutsu Kaisen | 呪術廻戦,2021,2024,4,M,E Asian,unspecified,Japan,Asia,Japanese
Jujutsu Kaisen | 呪術廻戦 - Itadori Yuuji,Itadori Yuuji,Jujutsu Kaisen | 呪術廻戦,2024,2024,1,M,E Asian,str8,Japan,Asia,Japanese
Jujutsu Kaisen | 呪術廻戦 - Kugisaki Nobara,Kugisaki Nobara,Jujutsu Kaisen | 呪術廻戦,2024,2024,1,F,E Asian,unspecified,Japan,Asia,Japanese
Jujutsu Kaisen | 呪術廻戦 - Y/N | Reader,Y/N | Reader,Jujutsu Kaisen | 呪術廻戦,2024,2024,1,Ambig,Ambig,unspecified,Japan,Asia,Japanese
Jujutsu Kaisen | 呪術廻戦 - Zenin Maki,Zenin Maki,Jujutsu Kaisen | 呪術廻戦,2024,2024,1,F,E Asian,unspecified,Japan,Asia,Japanese
Julie and The Phantoms - Alex Mercer,Alex Mercer,Julie and The Phantoms,2021,2021,1,M,White,gay,USA,North America,English
Julie and The Phantoms - Julie Molina,Julie Molina,Julie and The Phantoms,2021,2021,1,F,Latin,str8,USA,North America,English
Julie and The Phantoms - Luke Patterson,Luke Patterson,Julie and The Phantoms,2021,2021,1,M,White,str8,USA,North America,English
Julie and The Phantoms - Willie,Willie,Julie and The Phantoms,2021,2021,1,M,Am Ind / E Asian (Multi),gay,USA,North America,English
Kill la Kill | キルラキル - Kiryuuin Satsuki,Kiryuuin Satsuki,Kill la Kill | キルラキル,2015,2015,1,F,E Asian,unspecified,Japan,Asia,Japanese
Kill la Kill | キルラキル - Matoi Ryuuko,Matoi Ryuuko,Kill la Kill | キルラキル,2015,2015,1,F,E Asian,gay,Japan,Asia,Japanese
Killing Eve - Eve Polastri,Eve Polastri,Killing Eve,2019,2024,6,F,E Asian,bi,UK,Europe,English
Killing Eve - Oksana Anatolyevna Astankova | Villanelle,Oksana Anatolyevna Astankova | Villanelle,Killing Eve,2019,2024,6,F,White,gay,UK,Europe,English
Kim Possible - Kim Possible,Kim Possible,Kim Possible,2015,2015,1,F,White,str8,USA,North America,English
Kim Possible - Shego,Shego,Kim Possible,2015,2015,1,F,White,str8,USA,North America,English
Kingsman - Gary 'Eggsy' Unwin,Gary 'Eggsy' Unwin,Kingsman,2016,2017,2,M,White,str8,UK,Europe,English
Kingsman - Harry Hart,Harry Hart,Kingsman,2016,2017,2,M,White,unspecified,UK,Europe,English
KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Kim Theerapanyakun | Wik,Kim Theerapanyakun | Wik,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,2023,2023,1,M,SE Asian,unspecified,Thailand,Asia,Thai
KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Kinn Anakinn Theerapanyakun,Kinn Anakinn Theerapanyakun,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,2023,2023,1,M,SE Asian,gay,Thailand,Asia,Thai
KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Pete Phongsakorn Saengtham,Pete Phongsakorn Saengtham,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,2023,2023,1,M,SE Asian,bi,Thailand,Asia,Thai
KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Porchay Pichaya Kittisawat,Porchay Pichaya Kittisawat,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,2023,2023,1,M,SE Asian,unspecified,Thailand,Asia,Thai
KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Porsche Pachara Kittisawat,Porsche Pachara Kittisawat,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,2023,2023,1,M,SE Asian,unspecified,Thailand,Asia,Thai
KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Vegas Kornwit Theerapanyakun,Vegas Kornwit Theerapanyakun,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,2023,2023,1,M,SE Asian,gay,Thailand,Asia,Thai
Law & Order - Alexandra Cabot,Alexandra Cabot,Law & Order,2015,2016,2,F,White,unspecified,USA,North America,English
Law & Order - Elliot Stabler,Elliot Stabler,Law & Order,2022,2023,2,M,White,str8,USA,North America,English
Law & Order - Olivia Benson,Olivia Benson,Law & Order,2015,2023,4,F,White,str8,USA,North America,English
Legend of the Seeker - Cara Mason,Cara Mason,Legend of the Seeker,2014,2017,4,F,White,str8,USA,North America,English
Legend of the Seeker - Kahlan Amnell,Kahlan Amnell,Legend of the Seeker,2014,2017,4,F,White,str8,USA,North America,English
Les Misérables - Cosette Fauchelevent,Cosette Fauchelevent,Les Misérables,2014,2020,6,F,White,str8,France / UK / USA,Europe / North America,English
Les Misérables - Enjolras,Enjolras,Les Misérables,2013,2024,11,M,White,unspecified,France / UK / USA,Europe / North America,English
Les Misérables - Grantaire,Grantaire,Les Misérables,2013,2024,11,M,White,unspecified,France / UK / USA,Europe / North America,English
Les Misérables - Éponine Thénardier,Éponine Thénardier,Les Misérables,2014,2020,6,F,Ambig,str8,France / UK / USA,Europe / North America,English
Life Is Strange - Chloe Price,Chloe Price,Life Is Strange,2016,2024,8,F,White,gay,France / Japan,Asia / Europe,English
Life Is Strange - Maxine 'Max' Caulfield,Maxine 'Max' Caulfield,Life Is Strange,2016,2024,8,F,White,bi,France / Japan,Asia / Europe,English
Life Is Strange - Rachel Amber,Rachel Amber,Life Is Strange,2019,2024,6,F,White,bi,France / Japan,Asia / Europe,English
Life Is Strange - Victoria Chase,Victoria Chase,Life Is Strange,2016,2017,2,F,White,str8,France / Japan,Asia / Europe,English
Little Witch Academia | リトルウィッチアカデミア - Atsuko 'Akko' Kagari,Atsuko 'Akko' Kagari,Little Witch Academia | リトルウィッチアカデミア,2019,2024,6,F,E Asian,unspecified,Japan,Asia,Japanese
Little Witch Academia | リトルウィッチアカデミア - Diana Cavendish,Diana Cavendish,Little Witch Academia | リトルウィッチアカデミア,2019,2024,6,F,White,unspecified,Japan,Asia,Japanese
Lockwood & Co. - Anthony Lockwood,Anthony Lockwood,Lockwood & Co.,2023,2023,1,M,White,unspecified,UK,Europe,English
Lockwood & Co. - Lucy Carlyle,Lucy Carlyle,Lockwood & Co.,2023,2023,1,F,White,unspecified,UK,Europe,English
Lord of the Rings Universe - Bilbo Baggins,Bilbo Baggins,Lord of the Rings Universe,2013,2024,11,M,White,unspecified,UK,Europe,English
Lord of the Rings Universe - Fíli,Fíli,Lord of the Rings Universe,2013,2014,2,M,White,unspecified,UK,Europe,English
Lord of the Rings Universe - Kíli,Kíli,Lord of the Rings Universe,2013,2014,2,M,White,str8,UK,Europe,English
Lord of the Rings Universe - Thorin Oakenshield,Thorin Oakenshield,Lord of the Rings Universe,2013,2024,11,M,White,unspecified,UK,Europe,English
Lost Girl - Bo,Bo,Lost Girl,2014,2017,4,F,White,bi,Canada,North America,English
Lost Girl - Lauren Lewis,Lauren Lewis,Lost Girl,2014,2017,4,F,White,gay,Canada,North America,English
Lost Girl - Tamsin,Tamsin,Lost Girl,2015,2015,1,F,White,gay,Canada,North America,English
Love Live! | ラブライブ! - Ayase Eli,Ayase Eli,Love Live! | ラブライブ!,2017,2020,3,F,E Asian (Multi),unspecified,Japan,Asia,Japanese
Love Live! | ラブライブ! - Nishikino Maki,Nishikino Maki,Love Live! | ラブライブ!,2017,2020,3,F,E Asian,unspecified,Japan,Asia,Japanese
Love Live! | ラブライブ! - Toujou Nozomi,Toujou Nozomi,Love Live! | ラブライブ!,2017,2020,3,F,E Asian,unspecified,Japan,Asia,Japanese
Love Live! | ラブライブ! - Yazawa Nico,Yazawa Nico,Love Live! | ラブライブ!,2017,2020,3,F,E Asian,unspecified,Japan,Asia,Japanese
Lucifer - Chloe Decker,Chloe Decker,Lucifer,2020,2020,1,F,White,bi,USA,North America,English
Lucifer - Lucifer Morningstar,Lucifer Morningstar,Lucifer,2020,2020,1,M,White,str8,USA,North America,English
MIRROR - Lo Hon-ting | Anson Lo,Lo Hon-ting | Anson Lo,MIRROR,2022,2022,1,M,E Asian,unspecified,China,Asia,Chinese
MIRROR - Lui Cheuk-on | Edan Lui,Lui Cheuk-on | Edan Lui,MIRROR,2022,2022,1,M,E Asian,unspecified,China,Asia,Chinese
Maleficent - Aurora,Aurora,Maleficent,2015,2015,1,F,White,str8,USA,North America,English
Maleficent - Maleficent,Maleficent,Maleficent,2015,2015,1,F,White,str8,USA,North America,English
Marvel - America Chavez | Ms. America,America Chavez | Ms. America,Marvel,2015,2016,2,F,Af Lat,gay,USA,North America,English
Marvel - Angie Martinelli,Angie Martinelli,Marvel,2015,2024,9,F,White,unspecified,USA,North America,English
Marvel - Bruce Banner | Hulk,Bruce Banner | Hulk,Marvel,2013,2016,4,M,White,str8,USA,North America,English
Marvel - Carol Danvers | Ms. Marvel/Captain Marvel,Carol Danvers | Ms. Marvel/Captain Marvel,Marvel,2019,2021,3,F,White,str8,USA,North America,English
Marvel - Charles Xavier | Professor X,Charles Xavier | Professor X,Marvel,2013,2024,11,M,White,str8,USA,North America,English
Marvel - Clint Barton | Hawkeye,Clint Barton | Hawkeye,Marvel,2013,2024,11,M,White,str8,USA,North America,English
Marvel - Daisy Johnson | Skye,Daisy Johnson | Skye,Marvel,2014,2024,10,F,E Asian (Multi),str8,USA,North America,English
Marvel - Darcy Lewis,Darcy Lewis,Marvel,2015,2016,2,F,White,str8,USA,North America,English
Marvel - Eddie Brock | Venom,Eddie Brock | Venom,Marvel,2019,2019,1,M,White,str8,USA,North America,English
Marvel - Erik Lehnsherr | Magneto,Erik Lehnsherr | Magneto,Marvel,2013,2024,11,M,White,str8,USA,North America,English
Marvel - Grant Ward,Grant Ward,Marvel,2015,2015,1,M,White,str8,USA,North America,English
Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America,Marvel,2013,2024,11,M,White,str8,USA,North America,English
Marvel - Jane Foster | Thor,Jane Foster | Thor,Marvel,2013,2017,5,F,White,str8,USA,North America,English
Marvel - Jemma Simmons,Jemma Simmons,Marvel,2014,2024,10,F,White,str8,USA,North America,English
Marvel - Kate Bishop | Hawkeye,Kate Bishop | Hawkeye,Marvel,2015,2024,5,F,White,str8,USA,North America,English
Marvel - Leopold 'Leo' Fitz,Leopold 'Leo' Fitz,Marvel,2016,2020,4,M,White,str8,USA,North America,English
Marvel - Loki Laufeyson/Odinson,Loki Laufeyson/Odinson,Marvel,2013,2024,11,M | Other,White,bi,USA,North America,English
Marvel - Maria Hill,Maria Hill,Marvel,2014,2024,10,F,White,str8,USA,North America,English
Marvel - Maria Rambeau | Binary,Maria Rambeau | Binary,Marvel,2019,2021,3,F,Black,str8,USA,North America,English
Marvel - Michelle 'MJ' Jones,Michelle 'MJ' Jones,Marvel,2020,2022,2,F,Black (Multi),str8,USA,North America,English
Marvel - Mobius M. 'Moby' Mobius,Mobius M. 'Moby' Mobius,Marvel,2022,2024,2,M,White,unspecified,USA,North America,English
Marvel - Natalia Alianovna 'Natasha' Romanova | Black Widow,Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,2013,2024,11,F,White,str8,USA,North America,English
Marvel - Peggy Carter,Peggy Carter,Marvel,2015,2024,9,F,White,str8,USA,North America,English
Marvel - Peter Parker | Spiderman,Peter Parker | Spiderman,Marvel,2016,2024,8,M,White,str8,USA,North America,English
Marvel - Phil Coulson,Phil Coulson,Marvel,2013,2023,10,M,White,unspecified,USA,North America,English
Marvel - Samuel 'Sam' Wilson | Falcon/Captain America,Samuel 'Sam' Wilson | Falcon/Captain America,Marvel,2021,2022,2,M,Black,str8,USA,North America,English
Marvel - Stephen Strange | Doctor Strange,Stephen Strange | Doctor Strange,Marvel,2019,2020,2,M,White,str8,USA,North America,English
Marvel - Steve Rogers | Captain America,Steve Rogers | Captain America,Marvel,2013,2024,11,M,White,str8,USA,North America,English
Marvel - Thor Odinson,Thor Odinson,Marvel,2013,2024,11,M,White,str8,USA,North America,English
Marvel - Tony Stark | Iron Man,Tony Stark | Iron Man,Marvel,2013,2024,11,M,White,str8,USA,North America,English
Marvel - Venom (Symbiote),Venom (Symbiote),Marvel,2019,2019,1,Other,N.H.,unspecified,USA,North America,English
Marvel - Virginia 'Pepper' Potts | Rescue,Virginia 'Pepper' Potts | Rescue,Marvel,2013,2024,11,F,White,str8,USA,North America,English
Marvel - Wade Wilson | Deadpool,Wade Wilson | Deadpool,Marvel,2016,2020,4,M,White,bi,USA,North America,English
Marvel - Wanda Maximoff | Scarlet Witch,Wanda Maximoff | Scarlet Witch,Marvel,2020,2024,5,F,Romani,str8,USA,North America,English
Marvel - Y/N | Reader,Y/N | Reader,Marvel,2016,2024,8,Ambig,Ambig,unspecified,USA,North America,English
Marvel - Yelena Belova | Black Widow/White Widow,Yelena Belova | Black Widow/White Widow,Marvel,2022,2024,3,F,White,acearo,USA,North America,English
Mass Effect - Kaidan Alenko,Kaidan Alenko,Mass Effect,2015,2016,2,M,White,str8,Canada,North America,English
Mass Effect - Liara T'Soni,Liara T'Soni,Mass Effect,2014,2024,10,F,N.H.,bi,Canada,North America,English
Mass Effect - Shepard (Female) | Player Character,Shepard (Female) | Player Character,Mass Effect,2014,2024,10,F,Ambig,bi,Canada,North America,English
Mass Effect - Shepard | Player Character,Shepard | Player Character,Mass Effect,2015,2016,2,Ambig,Ambig,bi,Canada,North America,English
Merlin - Arthur Pendragon,Arthur Pendragon,Merlin,2013,2024,11,M,White,str8,UK,Europe,English
Merlin - Guinevere 'Gwen' Pendragon,Guinevere 'Gwen' Pendragon,Merlin,2013,2024,11,F,Black,str8,UK,Europe,English
Merlin - Merlin,Merlin,Merlin,2013,2024,11,M,White,str8,UK,Europe,English
Merlin - Morgana,Morgana,Merlin,2014,2024,10,F,White,str8,UK,Europe,English
Merlin - Morgause,Morgause,Merlin,2015,2016,2,F,White,unspecified,UK,Europe,English
Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Adrien Agreste | Chat Noir,Adrien Agreste | Chat Noir,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,2016,2024,8,M,White,str8,France,Europe,French
Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Juleka Couffaine | Reflekta,Juleka Couffaine | Reflekta,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,2022,2024,3,F,White,gay,France,Europe,French
Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Marinette Dupain-Cheng | Ladybug,Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,2016,2024,8,F,E Asian (Multi),str8,France,Europe,French
Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Rose Lavillant | Princess Fragrance,Rose Lavillant | Princess Fragrance,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,2022,2024,3,F,White,bi,France,Europe,French
Mortal Instruments - Alec Lightwood,Alec Lightwood,Mortal Instruments,2016,2024,8,M,White,gay,USA,North America,English
Mortal Instruments - Clary Fray,Clary Fray,Mortal Instruments,2016,2024,8,F,White,str8,USA,North America,English
Mortal Instruments - Isabelle Lightwood,Isabelle Lightwood,Mortal Instruments,2016,2024,8,F,Ambig,str8,USA,North America,English
Mortal Instruments - Magnus Bane,Magnus Bane,Mortal Instruments,2016,2024,8,M,E Asian,bi,USA,North America,English
Motherland - Raelle Collar,Raelle Collar,Motherland,2023,2024,2,F,White,gay,UK,Europe,English
Motherland - Scylla Ramshorn,Scylla Ramshorn,Motherland,2023,2024,2,F,White,bi,UK,Europe,English
My Chemical Romance - Frank Iero,Frank Iero,My Chemical Romance,2013,2024,11,M,White,str8,USA,North America,English
My Chemical Romance - Gerard Way,Gerard Way,My Chemical Romance,2013,2024,11,M | Other,White,str8,USA,North America,English
My Hero Academia | 僕のヒーローアカデミア - Aizawa Shouta | Eraserhead,Aizawa Shouta | Eraserhead,My Hero Academia | 僕のヒーローアカデミア,2019,2024,6,M,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Asui Tsuyu | Froppy,Asui Tsuyu | Froppy,My Hero Academia | 僕のヒーローアカデミア,2019,2024,6,F,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki,Bakugou Katsuki,My Hero Academia | 僕のヒーローアカデミア,2019,2024,6,M,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Jirou Kyouka | Earphone Jack,Jirou Kyouka | Earphone Jack,My Hero Academia | 僕のヒーローアカデミア,2019,2024,6,F,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Kaminari Denki | Chargebolt,Kaminari Denki | Chargebolt,My Hero Academia | 僕のヒーローアカデミア,2020,2022,3,M,E Asian,str8,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Kirishima Eijirou | Red Riot,Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,2019,2024,6,M,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku,Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,2019,2024,6,M,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Shinsou Hitoshi,Shinsou Hitoshi,My Hero Academia | 僕のヒーローアカデミア,2020,2022,3,M,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Takami Keigo | Hawks,Takami Keigo | Hawks,My Hero Academia | 僕のヒーローアカデミア,2020,2024,5,M,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Todoroki Shouto | Shoto,Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,2019,2024,6,M,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Todoroki Touya | Dabi,Todoroki Touya | Dabi,My Hero Academia | 僕のヒーローアカデミア,2020,2024,5,M,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Toga Himiko,Toga Himiko,My Hero Academia | 僕のヒーローアカデミア,2024,2024,1,F,E Asian,bi,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Uraraka Ochako | Uravity,Uraraka Ochako | Uravity,My Hero Academia | 僕のヒーローアカデミア,2019,2024,6,F,E Asian,str8,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Y/N | Reader,Y/N | Reader,My Hero Academia | 僕のヒーローアカデミア,2021,2021,1,Ambig,Ambig,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Yagi Toshinori | All Might,Yagi Toshinori | All Might,My Hero Academia | 僕のヒーローアカデミア,2021,2021,1,M,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Yamada Hizashi | Present Mic,Yamada Hizashi | Present Mic,My Hero Academia | 僕のヒーローアカデミア,2019,2024,6,M,E Asian,unspecified,Japan,Asia,Japanese
My Hero Academia | 僕のヒーローアカデミア - Yaoyorozu Momo | Creati,Yaoyorozu Momo | Creati,My Hero Academia | 僕のヒーローアカデミア,2019,2024,6,F,E Asian,unspecified,Japan,Asia,Japanese
NCIS - Abigail Beethoven 'Abby' Sciuto,Abigail Beethoven 'Abby' Sciuto,NCIS,2015,2015,1,F,White,str8,USA,North America,English
NCIS - Anthony DiNozzo,Anthony DiNozzo,NCIS,2013,2015,3,M,White,str8,USA,North America,English
NCIS - Jethro Gibbs,Jethro Gibbs,NCIS,2013,2015,3,M,White,str8,USA,North America,English
NCIS - Kate Whistler,Kate Whistler,NCIS,2024,2024,1,F,White,gay,USA,North America,English
NCIS - Lucy Tara,Lucy Tara,NCIS,2024,2024,1,F,MENA / SE Asian (Multi),gay,USA,North America,English
NCIS - Ziva David,Ziva David,NCIS,2015,2015,1,F,MENA,str8,USA,North America,English
Neo Culture Technology / NCT - Lee Donghyuck | Haechan,Lee Donghyuck | Haechan,Neo Culture Technology / NCT,2019,2020,2,M,E Asian,unspecified,South Korea,Asia,Korean
Neo Culture Technology / NCT - Lee Jeno | Jeno,Lee Jeno | Jeno,Neo Culture Technology / NCT,2020,2020,1,M,E Asian,unspecified,South Korea,Asia,Korean
Neo Culture Technology / NCT - Mark Lee | Mark,Mark Lee | Mark,Neo Culture Technology / NCT,2019,2020,2,M,E Asian,unspecified,Canada,North America,Korean
Neo Culture Technology / NCT - Na Jaemin | Jaemin,Na Jaemin | Jaemin,Neo Culture Technology / NCT,2020,2020,1,M,E Asian,unspecified,South Korea,Asia,Korean
Naruto - Haruno Sakura,Haruno Sakura,Naruto,2019,2022,4,F,E Asian,str8,Japan,Asia,Japanese
Naruto - Uchiha Sasuke,Uchiha Sasuke,Naruto,2013,2024,10,M,E Asian,str8,Japan,Asia,Japanese
Naruto - Uzumaki Naruto,Uzumaki Naruto,Naruto,2013,2024,10,M,E Asian,str8,Japan,Asia,Japanese
Naruto - Yamanaka Ino,Yamanaka Ino,Naruto,2019,2022,4,F,E Asian,str8,Japan,Asia,Japanese
New Gods | 新神榜 - Erlang Shen | Yang Jian,Erlang Shen | Yang Jian,New Gods | 新神榜,2023,2023,1,M,E Asian,unspecified,China,Asia,Chinese
New Gods | 新神榜 - Liu Chenxiang,Liu Chenxiang,New Gods | 新神榜,2023,2023,1,M,E Asian,unspecified,China,Asia,Chinese
Omniscient Reader | 전지적 독자 시점 - Kim Dokja,Kim Dokja,Omniscient Reader | 전지적 독자 시점,2023,2024,2,M,E Asian,unspecified,South Korea,Asia,Korean
Omniscient Reader | 전지적 독자 시점 - Yoo Joonghyuk,Yoo Joonghyuk,Omniscient Reader | 전지적 독자 시점,2023,2024,2,M,E Asian,str8,South Korea,Asia,Korean
Once Upon a Time - Aurora,Aurora,Once Upon a Time,2014,2016,3,F,White,str8,USA,North America,English
Once Upon a Time - Belle,Belle,Once Upon a Time,2013,2021,8,F,White,str8,USA,North America,English
Once Upon a Time - Emma Swan,Emma Swan,Once Upon a Time,2013,2024,11,F,White,str8,USA,North America,English
Once Upon a Time - Killian Jones | Captain Hook,Killian Jones | Captain Hook,Once Upon a Time,2014,2023,9,M,White,str8,USA,North America,English
Once Upon a Time - Mr. Gold | Rumpelstiltskin,Mr. Gold | Rumpelstiltskin,Once Upon a Time,2013,2021,8,M,White,str8,USA,North America,English
Once Upon a Time - Mulan,Mulan,Once Upon a Time,2014,2016,3,F,E Asian,gay,USA,North America,English
Once Upon a Time - Regina Mills | Evil Queen,Regina Mills | Evil Queen,Once Upon a Time,2013,2024,11,F,Latin,str8,USA,North America,English
Once Upon a Time - Ruby | Red Riding Hood,Ruby | Red Riding Hood,Once Upon a Time,2014,2017,4,F,White,bi,USA,North America,English
One Direction - Harry Styles,Harry Styles,One Direction,2013,2024,11,M,White,unspecified,UK,Europe,English
One Direction - Liam Payne,Liam Payne,One Direction,2013,2022,9,M,White,str8,UK,Europe,English
One Direction - Louis Tomlinson,Louis Tomlinson,One Direction,2013,2024,11,M,White,str8,UK,Europe,English
One Direction - Niall Horan,Niall Horan,One Direction,2013,2017,5,M,White,str8,Ireland,Europe,English
One Direction - Zayn Malik,Zayn Malik,One Direction,2013,2022,9,M,S Asian,str8,UK,Europe,English
One Piece | ワンピース - Roronoa Zoro | Pirate Hunter Zoro,Roronoa Zoro | Pirate Hunter Zoro,One Piece | ワンピース,2023,2024,2,M,E Asian,unspecified,Japan,Asia,Japanese
One Piece | ワンピース - Sanji Vinsmoke | Black-Leg Sanji,Sanji Vinsmoke | Black-Leg Sanji,One Piece | ワンピース,2023,2024,2,M,White,str8,Japan,Asia,Japanese
One-Punch Man | ワンパンマン - Genos | Demon Cyborg,Genos | Demon Cyborg,One-Punch Man | ワンパンマン,2016,2016,1,M,E Asian,unspecified,Japan,Asia,Japanese
One-Punch Man | ワンパンマン - Saitama | One Punch Man/Caped Baldy,Saitama | One Punch Man/Caped Baldy,One-Punch Man | ワンパンマン,2016,2016,1,M,E Asian,unspecified,Japan,Asia,Japanese
Orange is the New Black - Alex Vause,Alex Vause,Orange is the New Black,2015,2016,2,F,White,gay,USA,North America,English
Orange is the New Black - Piper Chapman,Piper Chapman,Orange is the New Black,2015,2016,2,F,White,bi,USA,North America,English
Orphan Black - Alison Hendrix,Alison Hendrix,Orphan Black,2015,2015,1,F,White,str8,Canada,North America,English
Orphan Black - Beth Childs,Beth Childs,Orphan Black,2015,2015,1,F,White,str8,Canada,North America,English
Orphan Black - Cosima Niehaus,Cosima Niehaus,Orphan Black,2014,2024,10,F,White,gay,Canada,North America,English
Orphan Black - Delphine Cormier,Delphine Cormier,Orphan Black,2014,2024,10,F,White,bi,Canada,North America,English
Our Flag Means Death - Edward Teach | Blackbeard,Edward Teach | Blackbeard,Our Flag Means Death,2022,2024,3,M,Māori Ind (Multi),gay,USA,North America,English
Our Flag Means Death - Israel Hands,Israel Hands,Our Flag Means Death,2023,2023,1,M,White,gay,USA,North America,English
Our Flag Means Death - Stede Bonnet,Stede Bonnet,Our Flag Means Death,2022,2024,3,M,White,gay,USA,North America,English
Overwatch - Amélie Lacroix | Widowmaker,Amélie Lacroix | Widowmaker,Overwatch,2019,2023,5,F,White,str8,USA,North America,English
Overwatch - Angela Ziegler | Mercy,Angela Ziegler | Mercy,Overwatch,2016,2024,8,F,White,unspecified,USA,North America,English
Overwatch - Emily,Emily,Overwatch,2019,2020,2,F,White,gay,USA,North America,English
Overwatch - Fareeha Amari | Pharah,Fareeha Amari | Pharah,Overwatch,2016,2024,8,F,MENA,unspecified,USA,North America,English
Overwatch - Gabriel Reyes | Reaper,Gabriel Reyes | Reaper,Overwatch,2017,2017,1,M,Af Lat,str8,USA,North America,English
Overwatch - Jack Morrison | Soldier: 76,Jack Morrison | Soldier: 76,Overwatch,2017,2017,1,M,White,gay,USA,North America,English
Overwatch - Jesse McCree | McCree,Jesse McCree | McCree,Overwatch,2017,2019,2,M,White,unspecified,USA,North America,English
Overwatch - Lena Oxton | Tracer,Lena Oxton | Tracer,Overwatch,2019,2023,5,F,White,gay,USA,North America,English
